ID,num_lx,num_rx,DeltaSZ,DeltaSP,dNum,resp,acc,RT,Group,DeltaNB
102,29,25,1.833333333,1.833333333,0.166666667,0,1,1.425228179,4yo,-0.214124805
102,32,8,1.666666667,0.666666667,2,0,1,1.032039758,4yo,-2
102,32,8,1,-1.333333333,2,0,1,2.717215324,4yo,-2
102,25,32,-0.666666667,-2,0.333333333,0,0,5.935632705,4yo,0.35614381
102,9,10,-1.833333333,0.833333333,0.166666667,0,0,6.080544781,4yo,0.152003093
102,13,10,2,1.666666667,0.333333333,0,1,1.184128665,4yo,-0.378511623
102,32,25,-1.666666667,-1,0.333333333,1,0,4.532766478,4yo,-0.35614381
102,8,32,0,0,2,1,1,1.632988875,4yo,2
102,25,20,1.666666667,1.666666667,0.333333333,0,1,3.531987178,4yo,-0.321928095
102,8,32,1.333333333,-0.333333333,2,1,1,3.903072334,4yo,2
102,16,13,0,-1,0.333333333,1,0,2.843052199,4yo,-0.299560282
102,32,8,0.666666667,-1.666666667,2,1,0,2.931645194,4yo,-2
102,32,8,0.666666667,-0.666666667,2,1,0,1.90488946,4yo,-2
102,18,23,1.333333333,0.333333333,0.333333333,1,1,1.385217814,4yo,0.353636955
102,32,8,1.333333333,1,2,0,1,0.71060492,4yo,-2
102,32,23,1.166666667,-0.833333333,0.5,1,0,4.425308996,4yo,-0.476438044
102,10,13,-1.333333333,2,0.333333333,1,1,1.649698078,4yo,0.378511623
102,8,32,-0.333333333,1,2,1,1,9.059217291,4yo,2
102,32,8,-0.333333333,0.333333333,2,0,1,2.175972908,4yo,-2
102,13,11,-0.833333333,-1.833333333,0.166666667,0,1,6.960845729,4yo,-0.2410081
102,14,20,1.166666667,1.5,0.5,1,1,0.618895053,4yo,0.514573173
102,20,14,1.833333333,0.5,0.5,0,1,0.630743741,4yo,-0.514573173
102,11,10,0.833333333,1.5,0.166666667,0,1,16.16278767,4yo,-0.137503524
102,20,25,1.666666667,-1,0.333333333,0,0,2.25326098,4yo,0.321928095
104,18,14,1.333333333,1.333333333,0.333333333,0,1,3.039705867,4yo,-0.362570079
104,8,32,1.333333333,0.666666667,2,1,1,1.162472702,4yo,2
104,11,8,1.166666667,-0.833333333,0.5,0,1,3.277837514,4yo,-0.459431619
104,8,9,-0.833333333,1.833333333,0.166666667,1,1,3.632184649,4yo,0.169925001
104,32,8,-1.333333333,1.333333333,2,0,1,1.046807336,4yo,-2
